,
1-es típusú cukorbetegség,1-es típusú cukorbetegség
1-es típusú cukorbetegség és szívelégtelenség,1-es típusú cukorbetegség és szívelégtelenség
1-es típusú diabétesz,1-es típusú diabétesz
2 alkalommal hasi műtét ciszta miatt,2 alkalommal hasi műtét ciszta miatt
2-es tipusú cukorbetegség,2-es tipusú cukorbetegség
2-es típusú,2-es típusú
2-es típusú cukorbetegség,2-es típusú cukorbetegség
2-es típusú cukorbetegség veseszövődményekkel,2-es típusú cukorbetegség veseszövődményekkel
2-es típusú diabetes,2-es típusú diabetes
2-s típ. cukorbetegség,2-s típ. cukorbetegség
2015-ben diverticulosis,2015-ben diverticulosis
2019-ben pneumonia miatti kezelés,2019-ben pneumonia miatti kezelés
A vesemedence rosszindulatú daganata,A vesemedence rosszindulatú daganata
ACM területi iszkémiás stroke,ACM területi iszkémiás stroke
AMI,AMI
Aaemia sec.,Aaemia sec.
Adams-Oliver szindróma,Adams-Oliver szindróma
Adat feltöltés alatt,
Adatok feltöltés alatt,
Addison-kór,Addison-kór
Agy nem megfelelő vérellátása,Agy nem megfelelő vérellátása
Agy rosszindulatú daganata,Agy rosszindulatú daganata
Agy veleszületett fejlődési rendellenessége,Agy veleszületett fejlődési rendellenessége
Agyban áttétes rák,Agyban áttétes rák
Agyban áttétes tüdőrák,Agyban áttétes tüdőrák
Agyburok jóindulatú daganata,Agyburok jóindulatú daganata
Agyi infarktus,Agyi infarktus
Agyi érelmeszesedés,Agyi érelmeszesedés
Agyi érszűkület,Agyi érszűkület
Agykárosodás,Agykárosodás
Agysorvadás,Agysorvadás
Agyvérzés,Agyvérzés
Agyérmeszesedés,Agyérmeszesedés
Akut myeloid leukémia,Akut myeloid leukémia
Albumin-rendellenesség,Albumin-rendellenesség
Allergiás asthma,Allergiás asthma
Alzeimer-kór,Alzeimer-kór
Alzheimer,Alzheimer
Alzheimer -kór,Alzheimer -kór
Alzheimer demencia,Alzheimer demencia
Alzheimer kór,Alzheimer kór
Alzheimer típusú demencia,Alzheimer típusú demencia
Alzheimer- kór,Alzheimer- kór
Alzheimer-betegség,Alzheimer-betegség
Alzheimer-betegségben,Alzheimer-betegségben
Alzheimer-demencia,Alzheimer-demencia
Alzheimer-dementia,Alzheimer-dementia
Alzheimer-kór,Alzheimer-kór
Alzhimer-kór,Alzhimer-kór
Anderson-Tawil szindróma,Anderson-Tawil szindróma
Anyagcserezavar,Anyagcserezavar
Aorta billentyű szűkülete,Aorta billentyű szűkülete
Arc rosszindulatú daganata,Arc rosszindulatú daganata
Asperger spektrumzavar,Asperger spektrumzavar
Asztma,Asztma
Az adat feltöltés alatt,
Az adat feltöltés alatt ( jelenleg nincs információ krónikus alapbetegségről),-NI-
Az adat feltöltés alatt ( jelenleg nincs információ krónikus alapbetegségről).,-NI-
Az adat feltöltés alatt (jelenleg nincs információ krónikus alapbetegségről),-NI-
B típusú hepatitisz,B típusú hepatitisz
B-sejtes gyomor lymphoma,B-sejtes gyomor lymphoma
B-sejtes krónikus limfocitás leukémia,B-sejtes krónikus limfocitás leukémia
B-sejtes limfóma,B-sejtes limfóma
B-sejtes lymphoma,B-sejtes lymphoma
B12-vitamin-hiány,B12-vitamin-hiány
BTSZB  (bal Tawara szár blokk),BTSZB  (bal Tawara szár blokk)
Baker-ciszta,Baker-ciszta
Bal Tawara-szár-block,Bal Tawara-szár-block
Basedow-kór,Basedow-kór
Bechet-kór,Bechet-kór
Becheterew-kór,Becheterew-kór
Bechterew-kór,Bechterew-kór
Beckwith-Wiedemann-szindróma,Beckwith-Wiedemann-szindróma
Bell-féle bénulás,Bell-féle bénulás
Bertolotti-szindróma,Bertolotti-szindróma
Bipoláris zavar,Bipoláris zavar
Buerger-kór,Buerger-kór
Bél rosszindulatú daganata,Bél rosszindulatú daganata
Bélelzáródás,Bélelzáródás
Bélgyulladás,Bélgyulladás
C. difficile fertőzés,C. difficile fertőzés
CABG,CABG
CD-30 pozitív nagysejtes limfóma,CD-30 pozitív nagysejtes limfóma
CLL,CLL
COPD,COPD
COPD  krónikus obtruktív tüdőbetegség,COPD  krónikus obtruktív tüdőbetegség
COPD (krónikus obstruktív tüdőbetegség),COPD (krónikus obstruktív tüdőbetegség)
COPD krónikus tüdőbetegség,COPD krónikus tüdőbetegség
COPD tüdőbetegség,COPD tüdőbetegség
Carpalis alagút-szindróma,Carpalis alagút-szindróma
Chron betegség,Chron betegség
Chron- betegség,Chron- betegség
Chron-betegség,Chron-betegség
Combnyaktörés,Combnyaktörés
Creutzfeld-Jacobson kór,Creutzfeld-Jacobson kór
Crohn betegség,Crohn betegség
Crohn-betegség,Crohn-betegség
Csontritkulás,Csontritkulás
Csontvelő rendellenesség,Csontvelő rendellenesség
Cukorbetegség,Cukorbetegség
Cukorbetegség  degeneratív ízületi betegség,Cukorbetegség  degeneratív ízületi betegség
Cukorbetegség szövődmények nélkül,Cukorbetegség szövődmények nélkül
Cushing kór,Cushing kór
Cushing-szindróma,Cushing-szindróma
Cytomegalovírus fertőzés,Cytomegalovírus fertőzés
D.M.,D.M.
DCM,DCM
DM,DM
Daganatos betegség,Daganatos betegség
Daganatos betegségek,Daganatos betegségek
Daganatos megbetegedés,Daganatos megbetegedés
Daganatos megbetegedések,Daganatos megbetegedések
Daganatos megbetegsés,Daganatos megbetegsés
Darier-kór,Darier-kór
Decubitus-fekély,Decubitus-fekély
Demencia,Demencia
Depresszió,Depresszió
Devic-szindróma,Devic-szindróma
Diabetes Mellitus,Diabetes Mellitus
Down szindróma,Down szindróma
Down-kór,Down-kór
Down-szindróma,Down-szindróma
EBSL termelő E.coli fertőzés,EBSL termelő E.coli fertőzés
ESBL-termelő kórokozó fertőzés,ESBL-termelő kórokozó fertőzés
Ehízás,Ehízás
Elhízás,Elhízás
Eltávolított epehólyag,Eltávolított epehólyag
Epe rosszindulatú daganata,Epe rosszindulatú daganata
Epehólyag eltávolítás,Epehólyag eltávolítás
Epehólyag rosszindulatú daganat,Epehólyag rosszindulatú daganat
Epilepszia,Epilepszia
Fahr-betegség,Fahr-betegség
Fekélyes vastagbélgyulladás,Fekélyes vastagbélgyulladás
Felty-szindróma,Felty-szindróma
Fibr. auric. St.p. cholecytectomiam,Fibr. auric. St.p. cholecytectomiam
Frailty-szindróma,Frailty-szindróma
Fábry-szindróma,Fábry-szindróma
Féloldali bénulás,Féloldali bénulás
GAVE,GAVE
GERD,GERD
Generaizált érbetegség,Generaizált érbetegség
Gilbert szindróma,Gilbert szindróma
Gilbert-kór,Gilbert-kór
Goodpasture-betegség,Goodpasture-betegség
Guillain Barre szindróma,Guillain Barre szindróma
